id,historical_games,next_game
2,3 12 262 6094 283 50 1070 233,131
4,294 241 1 150 12,101
7,85 139 144 57 2013,330
10,7 114 10 5 31 6504,19
18,5 221 3 712 159 4 810 94 746 6170 136 17 1160 78 113,247
21,2 1 208 1404 1134 413 135 40,304
22,1022 867 26 105 631 30 664 4 48 25 25 1015 1398 251 257 45 3897 2026 88 88,104
24,8 44 1031 54 217,36
26,42 101 5022 3277 6 6 197 184 762 516 773 23 18 18 420 278 122 122 652 14,14
28,1077 1160 648 44 5,136
29,3634 38 51 190 127 2422 568 5796 578 60 1935,4
30,5 85 180 20 286,73
33,251 3698 1559 41 579 144,50
41,174 469 537 1996 269 573 2690 1533 2090 1309,146
42,7 9 27 13 10,60
45,435 1 22 230 2494 6554 6585 2070 2 52 1781,157
50,11 68 720 12 974 4 59 478,210
52,85 2 703 60 503 6200 107 3535 593 132,80
54,1 84 2391 171 4 1140 1212 71 71 179,289
55,373 602 2794 901 454 2893 315,15
60,11 48 3 81 146 5,201
61,15 625 993 474 946 947,142
63,7 9 114 10 1338 842,379
64,168 20 483 451 54 16 1 4,259
70,1867 1 1440 359 3 2 82 2690 146 108 687,49
74,556 257 197 127 819 125,87
87,1198 2342 3442 775 112,145
96,549 1627 388 370 309 30 395 240 203 1088 1814 1876 2796 2549 14 14 66 733,184
99,33 190 756 861 975,117
100,2 47 1426 8 86 52 50 4 26 110 110 3,40
108,1 301 291 1828 377 471 1946 678 119 830 152 2217 22 5069 514 1281 1080 309,49
110,2 199 360 53 2614,41
112,24 3 61 84 4 12,79
116,866 19 82 58 152 33 107 274 163 1749 568 307 1022 98 582,49
121,305 457 334 37 703 796 991 580 687 6 6 2138 3540 189 338 1552 863 2538 85,5
128,2 145 253 6869 101,22
142,4358 359 133 167 69 162 163 466,113
143,1 26 77 134 4 105 220 382 34 525,21
144,3 297 495 1155 2366 28 15 365 39 754,41
145,93 2396 71 71 803,173
151,1974 8 859 1890 1835 430 205 1593 447 619,227
152,6 6 162 133 256,338
155,172 733 76 278 1098 1483,169
156,1 389 1228 22 148 520 1202 691 1852 153 3887,154
162,7 9 13 10 380 93 2388 5 24,16
165,90 1 43 3 14 14 736 454 1467 955 2647 1234 746,183
168,1639 195 1464 65 4103 4423 2596 193 450 3298 3394 4020 6415 2547 1942 448 873 206,87
169,7 9 27 13 10 6,6
172,2121 1086 2 29 398 20 470,8
173,34 38 3 1 6989 320 16 106 211 1089 59,135
175,420 4526 32 27 2573 132 503 45 57 184 1883 4021 757,8
179,19 616 15 5905 4685 3288 1467,68
182,76 958 7510 2743 780 290,104
186,1984 4 217 37 35 357 2935 1424 42 38 147 430 243 5269 985,55
192,1259 42 300 3815 2465,853
194,3 21 17 2 3710,99
197,114 10 7 1 3829,39
200,37 48 368 104 4 151,58
204,47 696 1050 15 142 309 4697 1844 99 17 1840 4979,96
209,52 181 2913 56 3388 735 2557 2517 4199 3279 123 201 358 311 1547 798 317 1429 367 5442,279
210,16 62 107 680 1 54 93 19,126
211,1391 4270 189 5025 856 84 366 203 5901 147 28,1
213,7 9 13 10 888 5 1466 276 985,500
217,32 19 1816 1153 2346 79 5,85
226,39 804 19 89 23,316
229,1405 124 1091 5 85 44 1198 127 419 1173 855 46 7134 68 67 142 7808 3466 2019 70,295
230,60 723 911 28 830 4291 1534 2,1
231,752 3937 1216 87 67 281 192,61
235,457 310 479 138 131,28
236,670 301 391 2 3040,49
237,218 258 395 123 632,124
238,1742 1742 1603 12 1 16 14 14 1628 98 1203 2624 4721 1590 5594 1557 919 3983 15 1549 6694 1033 589,439
239,602 32 1477 809 1105 260 193 417 1400 536 35 17 99 156 2327 317 224 108 123 45 58,197
242,2193 129 72 6161 7260 121 257 1228 1783 4799 3710 1621 3483,181
250,7 9 27 13 10,524
251,2 11 12 130 416 50 91,142
253,5349 143 740 331 2372 132 963 5 85 44,1071
256,13 444 155 8 1264,519
258,675 393 2 230 120 101 56,67
259,5676 2348 787 7502 1463 1 16 133 40 4987 1485 108 6705 1806,12
261,1250 242 105 3104 2310 3 797,21
266,362 88 88 16 1 1995 86 3157,2
267,31 595 2697 921 70 1878 702 371 66 231 823 67 2843 169,8
268,1356 4 11 26 3,171
270,16 1 304 45 23 77 2273,40
276,251 131 404 3 1060,94
280,2740 2815 103 24 2613,19
281,114 41 1212 51 4 181 939,16
285,1761 267 178 138 131 1087,97
291,455 24 2059 346 371 3193 4964 73 1987 99 489 3215 318 158 128 254 1023 23 14 903 1216 651 273,173
292,1 44 455 4 94 3578 22,48
295,7578 6576 589 1259 7737,398
300,3 99 4 920 1206 382,73
305,131 363 998 1302 38 393 1362,48
307,32 124 49 2969 25 25,192
308,3354 331 44 5 143 435 1249,198
309,126 234 256 73 313 212 1529 548 235 975 6,6
311,20 1 2288 163 31 36 11 3645 12,280
315,1169 54 938 1521 2 34,81
318,310 212 81 1082 33 105 6424 4484 858 179,17
321,1047 5379 216 284 85 139,15
323,5 16 1 483 24 31 343 502,192
324,164 932 1039 15 797 2 1671 1133,211
327,572 356 1485 1127 611 403 8 1200,239
334,1 16 148 1227 4 33 680 52 224 133 128 462 26 445 77,271
335,137 15 1 58 4482 314 41 175,51
337,51 8 1 33 193 24 231,258
338,5 82 2214 2409 6 6 66 1366 30,132
340,62 8 13 871 54 41 6,6
342,85 8 24 136 247 979 51 4226 46 5402 2640,4
343,2 15 287 4 46,125
347,2 1247 537 75 2023 5885,101
348,231 2211 133 2953 174 4470,156
352,615 1909 14 14 112 98 121,255
355,956 117 140 1006 49,192
362,192 106 237 686 1999 180 570 164 1346 264 1107 733 819 2168,211
363,21 41 28 134 146 37 372 3,22
368,1895 2161 3750 1328 4661 2872 2524,23
369,1 16 519 242 489 712 772 199 439 2765 56 179 112 234 353 731 1456,32
371,5 192 96 1212 635,68
374,15 65 235 3071 28 4 402 3 230 1237,34
376,966 848 89 1121 982,77
379,20 2199 21 22 99 58 223 759 167 111 24 4876 74 89 491 151,225
381,3 360 56 106 1302 149 438 482 613 946 5143 1250,51
386,53 5 789 238 1532,299
387,105 176 5186 2037 96 287 3153 2767 14,14
389,60 206 669 4243 716 482 448 65 1845 5006 72 1460 546 41 1687 308 808,15
390,215 405 191 457 436 38 17,245
392,7 9 13 10 2 42,205
394,9 674 522 106 20 8 126,79
395,54 2 1826 153 227 19,89
399,33 1066 120 3183 2249 5835 455 2632,75
403,47 510 458 906 62,81
404,2830 2477 747 4631 253 1161 54 155,379
411,5 105 926 536 128 2029 116 3318,295
415,15 68 125 62 220,105
418,35 490 558 92 92,149
420,2048 270 42 508 6123 1376 999 6 6 317 1251 3545 124 288 800 3415 876 108 369 79 197 1968,106
422,64 76 6 6 346 318 73 668 696 2 23 18 18 14 14 195 45 1483 5633 2107 1646,288
447,20 88 88 16 2 42 2049 110,110
451,10 9 73 1456 268,215
460,200 134 879 1285 300 2 173,75
461,1 129 4747 1020 5725 5297,15
462,90 167 1029 1816 44 3666 5,20
465,14 14 546 387 216 876 378 66 1067,682
467,196 282 1676 73 641 575 373 802 258 156 157 256 276 23 45 1097 1500 1075 1225 35 2831 202 8 2494 57 85,32
469,133 5234 708 5530 384 4185 34 2378 1963 474 764,247
470,118 126 1902 5492 25 25 3 523 106 267 1387 1713,56
471,64 3098 2384 1716 158 17 371 6 6 199 535 209,282
473,24 103 2191 8 5391 67 391 3309 1587 155 665 135 953 721 4445 79,197
475,47 148 68 12 81 1549,16
477,141 17 6571 8 117 7780 7708,5
483,79 61 281 299 356 535 1089 78 2270 5020 23 3407 297 383 156 1001 450 3750 421 219,258
487,7 9 27 10 13 4 332,60
490,52 34 64 9 32,101
495,3164 34 7214 5 7186,297
496,21 28 447 1374 149 134 56 192 3 1228 105 234 332 49 69 106 1338 17 211 67 3469 705 5 2 4 35 502 524,203
498,53 2 1036 294 545 122 122,211
500,17 70 14 14 87 23 417,258
501,557 115 125 290 74 61 973 5873 3214 4008 2288 255 625 710 6342 291 5499 1946 22 25 25,4
504,5 414 37 593 79 71 71 14 14 173,45
505,676 5 24 188 140 866 487 42 22 1089 1713,379
506,60 1 16 110 110 3 21 39 11 324 2416 4255 1764 2588,15
509,3901 32 1 1151 678 220 4 3,19
512,7 162 217 31 568 334 2228,39
515,289 144 36 266 25 25 272 1568 40 98 1246 83,167
516,18 18 70 45 151 3360 2712 46 5533 64 14,14
517,241 284 16 1 121,304
518,914 1573 43 164 1512,104
519,270 5306 43 418 90,31
520,5899 220 56 60 239 365 586,4
524,7 13 320 769 2329 1238,44
531,7 9 27 13 10 89 6,6
532,83 1765 45 2037 4630 3737 569 306 395,320
534,47 16 22 74 455 5149 229 7527 1750 287 4923,107
537,504 349 7386 5 134 125 51 5414 1233 448 198 6 6 115 4763 59 1027 1937 76 700 49 67 160 1675 40 7540 347,11
539,74 153 265 28 691 849 2099 1412 1199 2256 4 437 8 30 22 732 906 86 606 354 21,1
540,8 749 1175 3 34,249
542,2922 5092 280 1130 4 179,19
545,54 24 166 22 230 153 164 2343 61 559 79,75
546,19 107 504 560 52 134,61
548,18 18 1010 34 39 1571 419 30 91 2665 386 3248 15 158 408 5830 50 649 125 16 14,14
549,16 24 52 2 11,89
554,82 3 88 88 213 247 50 3056 955 230 40 100 770 23 2475 761 113 37 890 244 4 836 291 425 232 433 1194,161
555,626 1 16 2 130,257
563,85 2469 4 205 3 30,137
570,12 2 16 3248 1 2511 50 929,531
571,172 3993 5 17 140 22 4782 24 1402 235 3 161 1158,37
574,5386 5 37 144 628 429 175 39 102 564 500 1266 423 53 611,155
577,345 7425 1766 159 17 563 1571 1435 1516 318 1092 840 467 3656 2 38 214 417 35 202 752 170 375 6 1938 198,57
584,226 5 150 1799 908 127 755,26
589,127 5159 5 511 264 41 117 901 165,44
599,11 1552 133 465 1718 29 12 225 1590 42,48
601,7 9 27 13 10 16 1 93 1530 42 1684 20 86 110 110 130 11,173
603,299 218 1246 33 53,37
604,7 9 13 10 148 4,2
605,975 117 1193 8 1478,118
608,1 54 237 111 103 129 154 163 125 76 393 1704 1031 6676,339
614,68 709 207 18 18 4 337 128 743 279 40,34
616,6661 1 168 1850 4156 1356 29 645 4486 6,6
618,948 1530 1258 3840 316 2,416
621,16 22 277 2644 148,1
623,414 1171 106 269 179 1665 739,22
626,733 3617 43 98 108,81
631,1 31 339 36 89 41 23 1488 1109 62 4 2 130 263 81,50
633,6638 4134 6527 420 3318,682
634,128 134 353 365 520 2518,68
636,4 46 8 117 382 447 34 725 5 1513 1676 1276 6968 133 190 4857 1149 205 24 4618,113
637,1 4 173 2059 3819,52
643,1584 19 900 17 1463 258 459 107,35
646,728 1 47 4634 51 289 54,12
648,20 435 229 173 531,15
649,119 59 732 33 354 12 89 2466 216 2065 1650 1224,36
651,7 9 13 10 11 2 130,262
652,46 385 3227 445 72 2338 113 9,16
655,286 1542 282 7016 3,218
660,18 18 6 6 70 34,45
666,1720 3246 38 2536 2576 1760 4368,5
674,180 191 32 43 2423 402 1545 117 181 105 160 157 6838 103 87 1209 37 3998 210 5319,61
676,65 54 181 1847 35 440 1449 1408,87
677,199 299 4 15 1039 494 204 53 1132 1100 147 83 4960 94,68
680,7229 243 255 174 365 41 8,4
692,16 32 54 2 143 99 521 22 5 33 446 1553 626 483 1110 31 4 468 1136 407 163 83 486 104,1
694,724 528 692 778 1421 2223 6001 41 44 1869 603 482 1253,59
697,113 2 3 148 508 223 11 81,105
698,24 115 518 290 2,78
699,4753 162 551 1582 165,2
700,1 19 399 6857 16 54 1344 2 957,75
701,871 487 33 161 4592 2192 372,137
704,340 969 52 622 46 432,15
707,1364 6009 6046 6381 6532 189 191 460 439,104
708,56 84 55 297 189 6209,72
710,7 10 4 1599 144 36 363 48 11 12 75 739 812 3,13
711,551 11 299 360 6 6 14,14
716,7 9 13 10 2 93 362 77,59
722,9 11 1 3283 2 720,75
724,18 18 47 452 1054 3206,148
727,2827 4873 238 1221 338,23
728,35 2930 65 187 1156 479 333 6,6
729,114 8 111 63 16 62 587 75 71,71
733,940 768 150 16 12 171,1
734,44 29 24 111 49 211,524
737,77 48 2168 1120 873 8,218
741,1196 18 18 278 103 977 766 166 66 855 774 546 30 950 1067 1383 646 757,480
742,32 2748 8 22 4733 117 1228 447 276,156
746,146 2 113 294 368 63 290 653 233 22 17 30 21 4 4168,12
